moinho,3.759998,-0.010000,-4.280000,-0.100000,-3.399999,0.199998,1.000000,1.000000,1.000000,0,0
moinho,-3.749999,0.020000,-4.230001,2.000000,5.099998,-1.200004,1.000000,1.000000,1.000000,0,0
vaca,2.339999,-0.020000,0.040000,0.799998,-90.499924,-1.099999,1.000000,1.000000,1.000000,0,0
carroca,3.560001,0.000001,0.190000,0.499993,1.100198,-3.000000,1.000000,1.000000,1.000000,0,0
homem,1.510000,0.010000,0.970000,-23.299986,-89.499840,23.900047,1.000000,1.000000,1.000000,0,0
porco,3.589999,-0.000001,2.850001,1.999996,-90.099983,-2.500000,1.000000,1.000000,1.000000,0,0
porco,3.969999,-0.000000,4.350004,-8.200001,-87.499901,8.600001,1.000000,1.000000,1.000000,0,0
arvore,-3.699998,-0.070000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,0
arvore,-0.290000,-0.030000,-3.449998,-0.200000,1.600000,-0.199997,1.000000,1.000000,1.000000,0,0
arvore,3.159999,-0.040001,-0.500000,0.000000,0.000000,3.599999,1.000000,1.000000,1.000000,0,0
arvore,-4.190002,-0.019999,2.309999,-3.500004,33.100006,-3.000000,1.000000,1.000000,1.000000,0,0
